title,overview,release_year,genres,director,cast,source,vote_average,runtime
Percy Jackson & the Olympians: The Lightning Thief,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",2010,"['Adventure', 'Fantasy', 'Family']",['Chris Columbus'],"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Jake Abel', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Melina Kanakaredes', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman', 'Julian Richings', 'Annie Ilonzeh', 'Alexis Knapp', 'Natassia Malthe', 'Erica Cerra', 'Marie Avgeropoulos', 'Maria Olsen', 'Hector David Jr.', 'Bonita Friedericy', 'Elisa King', 'Tania Saulnier', 'Christie Laing', ""Luisa D'Oliveira"", 'Crystal Tisiga', 'Marielle Jaffe', 'Daniela Dib', 'Charlie Gallant', 'Chelan Simmons', 'Andrea Brooks', 'Jocelyn Ott', 'Max Van Ville', 'Serinda Swan', 'Dimitri Lekkos', 'Ona Grauer', 'Stefanie von Pfetten', 'Conrad Coates', 'Dylan Neal', 'Luke Camilleri', 'Holly Hougham', 'Yusleidis Oquendo', 'Ina Geraldine Guy', 'Janine Edwards', 'Raquel Riskin', 'Valerie Tian', 'Violet Columbus', 'Sarah Smyth', 'Merritt Patterson', 'Julie Luck', 'Andrea Day', 'Maya Washington', 'John Stewart', 'Matthew Garlick', 'Dee Jay Jackson', 'Stan Carp', 'Suzanne Ristic', 'Richard Harmon', 'Robin LeMon', 'Doyle Devereux', 'Tom Pickett', 'Keith Dallas', 'V.J. Delos-Reyes', 'Spencer Atkinson', 'Tim Aas', 'Zane Holtz', 'Eli Zagoudakis', 'Loyd Bateman', 'Matt Reimer', 'Shawn Beaton', 'Rob Hayter', 'Jarod Joseph', 'Paul Cummings', 'Reilly Dolman', 'Julie Brar', 'Dejan Loyola', 'Mario Casoria', 'Dorla Bell', 'Carolyn Adair', 'Jade Pawluk', 'G. Patrick Currie', 'Mariela Zapata', 'Jaime M. Callica', 'Sarah Francis', 'Eddie Garcia', 'Kenny Mugisha', 'Jennifer Oleksiuk', 'Izaak Smith', 'Morgan Tanner', 'Teya Wild']",tmdb,6.0,118.0
Men in Black,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",1997,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",['Barry Sonnenfeld'],"['Tommy Lee Jones', 'Will Smith', 'Linda Fiorentino', ""Vincent D'Onofrio"", 'Rip Torn', 'Tony Shalhoub', 'Mike Nussbaum', 'Jon Gries', 'Sergio Calderón', 'Carel Struycken', 'Fredric Lehne', 'Richard Hamilton', 'Kent Faulcon', 'Siobhan Fallon', 'John Alexander', 'Keith Campbell', 'Sylvester Stallone', 'Danny DeVito']",tmdb,6.9,98.0
Toy Story 2,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",1999,"['Animation', 'Comedy', 'Family']",['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'Wayne Knight', 'John Morris', 'Laurie Metcalf', 'Estelle Harris', 'R. Lee Ermey', 'Jodi Benson', 'Jonathan Harris', 'Joe Ranft', 'Andrew Stanton', 'Jeff Pidgeon', 'Corey Burton', 'John Lasseter', 'Mickie McGowan', 'Phil Proctor', 'Lee Unkrich']",tmdb,7.3,92.0
Unstoppable,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania, and only two men can stop it: a veteran engineer and a young conductor. Thousands of lives hang in the balance as these ordinary heroes attempt to chase down one million tons of hurtling steel and prevent an epic disaster.",2010,"['Action', 'Thriller']",['Tony Scott'],"['Denzel Washington', 'Chris Pine', 'Rosario Dawson', 'Ethan Suplee', 'Kevin Corrigan', 'Kevin Chapman', 'Lew Temple', 'T.J. Miller', 'Jessy Schram', 'David Warshofsky', 'Andy Umberger', 'Elizabeth Mathis', 'Meagan Tandy', 'Dylan Bruce', 'Jeff Hochendoner', 'Ryan Ahern', 'Christopher Lee Philips', 'Kevin McClatchy', 'Toni Saladna', 'Patrick McDade']",tmdb,6.3,98.0
Rush Hour 2,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",2001,"['Action', 'Comedy', 'Crime', 'Thriller']",['Brett Ratner'],"['Chris Tucker', 'Jackie Chan', 'Zhang Ziyi', 'Roselyn Sánchez', 'Ernie Reyes, Jr.', 'Don Cheadle', 'John Lone', 'Maggie Q', 'Alan King', 'Harris Yulin', 'Kenneth Tsang', 'Lisa LoCicero', 'Meiling Melançon', 'Lucy Lin', 'Cindy Lu', 'Jeremy Piven']",tmdb,6.4,90.0
Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2009,"['Animation', 'Comedy', 'Family']","['Phil Lord', 'Christopher Miller']","['Bill Hader', 'Anna Faris', 'James Caan', 'Mr. T', 'Benjamin Bratt', 'Bruce Campbell', 'Neil Patrick Harris', 'Al Roker', 'Lauren Graham', 'Andy Samberg', ""Bobb'e J. Thompson"", 'Will Forte', 'Max Neuwirth', 'Peter Siragusa', 'Angela Shelton', 'Neil Flynn', 'Liz Cackowski', 'Isabella Acres', 'Lori Alan', 'Shane Baumel', 'Bob Bergen', 'Cody Cameron', 'Marsha Clark', 'John Cygan', 'Ann Dominic', 'Paul Eiding', 'Jess Harnell', 'Gary A. Hecker', 'Phil Lord', 'Sherry Lynn', 'Danny Mann', 'Mona Marshall', 'Mickie McGowan', 'Christopher Miller', 'Laraine Newman', 'Jan Rabson', 'Grace Rolek', 'Jeremy Shada', 'Will Shadley', 'Melissa Sturm', 'Ariel Winter']",tmdb,6.5,90.0
Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",2009,"['Animation', 'Comedy', 'Family', 'Adventure']",['Carlos Saldanha'],"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Simon Pegg', 'Ethan Juan', 'Seann William Scott', 'Karen Disher', 'Chris Wedge', 'Kristen Wiig', 'Eunice Cho', 'Harrison Fahn', 'Maile Flanagan', 'Jason Fricchione', 'Bill Hader', 'Kelly Keaton', 'Joey King', 'Lucas Leguizamo', 'Jane Lynch', 'Regan Mizrahi', 'Clea Lewis', 'Allegra Leguizamo', 'Allegra Leguizamo', 'Josh Peck', 'Carlos Saldanha', 'Claudia Besso', 'Beatrice Miller']",tmdb,6.5,94.0
The Secret Life of Walter Mitty,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,2013,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",['Ben Stiller'],"['Ben Stiller', 'Kristen Wiig', 'Patton Oswalt', 'Shirley MacLaine', 'Adam Scott', 'Kathryn Hahn', 'Sean Penn', 'Terence Bernie Hines', 'Gurdeep Singh', 'Alex Anfanger', 'Gary Wilmes', 'Adrian Martinez', 'Jon Daly']",tmdb,7.0,114.0
The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006,"['Drama', 'Thriller', 'Crime']",['Martin Scorsese'],"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Anthony Anderson', 'Alec Baldwin', 'Kevin Corrigan', 'James Badge Dale', ""David O'Hara"", 'Robert Wahlberg', 'Kristen Dalton', 'Thomas B. Duffy', 'Richard Hughes', 'Chance Kelly', 'Larry Mitchell', 'Mark Rolston', 'J.C. MacKenzie', 'Mary Klug', ""Robert 'Toshi' Kar Yuen Chan"", 'Gurdeep Singh', 'Armen Garo', 'John Cenatiempo', 'Billy Smith', 'Brian Smyj', 'William Severs', 'Douglas Crosby', 'Dorothy Lyman', 'Audrie Neenan', 'Conor Donovan', 'Patrick Coppola', ""Mick O'Rourke"", 'Nellie Sciutto', 'Henry Yuk', 'John Rue', 'Joseph P. Reidy', 'John Farrer', 'Brian Haley', 'Terry Serpico', 'Jay Giannone', 'David Conley', 'Jill Brown', 'Tom Kemp', 'Johnny Cicco', 'Shay Duffin', 'David Fischer', 'Emma Tillinger Koskoff', 'Craig Castaldo', 'James P. Anderson', 'Takumi Bando', 'Eric Bruno Borgman', 'David Boston', 'Brendan Burke', 'Chris Chinn', 'Jeffrey Corazzini', 'Jim Ford', 'Trudi Goodman', 'Steve Lord', 'Jack McCullough', 'Osmani Rodriguez', 'Lawrence Cameron Steele', 'Stream', 'Conor Timmis', 'Joseph Oliveira', 'Mark Falvo', 'Adam Masnyk', 'Shawn Fogarty', 'John Franchi', 'Paul McGillicuddy']",tmdb,7.9,151.0
Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",1998,"['Animation', 'Family', 'Adventure']","['Tony Bancroft', 'Barry Cook']","['Eddie Murphy', 'Jackie Chan', 'Ming-Na Wen', 'Lea Salonga', 'June Foray', 'Soon-Tek Oh', 'Freda Foh Shen', 'James Hong', 'BD Wong', 'Donny Osmond', 'Pat Morita', 'Harvey Fierstein', 'Marni Nixon', 'George Takei', 'Jerry Tondo', 'Gedde Watanabe', 'Miguel Ferrer', 'James Shigeta', 'Frank Welker', 'Miriam Margolyes', 'Matthew Wilder']",tmdb,7.6,88.0
Tropic Thunder,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",2008,"['Action', 'Comedy']",['Ben Stiller'],"['Ben Stiller', 'Jack Black', 'Robert Downey Jr.', 'Nick Nolte', 'Steve Coogan', 'Jay Baruchel', 'Danny McBride', 'Brandon T. Jackson', 'Bill Hader', 'Brandon Soo Hoo', 'Reggie Lee', 'Trieu Tran', 'Matthew McConaughey', 'Tom Cruise', 'Jeff Kahn', 'Anthony Ruivivar', 'Eric Winzenried', 'Valerie Azlynn', 'Matt Levin', 'David Pressman', 'Amy Stiller', 'Dempsey Silva', 'Jeff Weidemann', 'Nadine Ellis', 'Rachel Avery', 'Darryl Farmer', 'Rod Tate', 'Maria Menounos', 'Tyra Banks', 'Christine Taylor', 'Jel Galiza', 'Andrea De Oliveira', 'Yvette Nicole Brown', 'J. Thomas Chon', 'Jacob Chon', 'Mini Anden', 'Mike Hoagland', 'Jon Voight', 'Jennifer Love Hewitt', 'Jason Bateman', 'Lance Bass', 'Alicia Silverstone', 'Don Abernathy', 'Linda Bella', 'Denise Bradley', 'Ella Christopher', 'Natalie Cohen', 'Larry Cruz', 'Angela Daun', 'Clark DeVol', 'Kaylee Dodson', 'Jasmine Dustin', 'David D. Espinoza', 'Eric Feliciano', 'Austin Honaker', 'Miko Hughes', 'Dave Johnson', 'Jillian Johnston', 'James Lew', 'Lesley Nicole Lewis', 'Fadhia Carmelle Marcelin', 'Anya Monzikova', 'Chad Mountain', 'Brittany Perry-Russell', 'Simon Rhee', 'DJ Rivers', 'Samantha Sadoff', 'Gaku Space', 'Becca Sweitzer', 'Kaye Marie Talise', 'Sandra Valladares', 'Julie Van', 'Jobeth Wagner', 'Tobey Maguire']",tmdb,6.5,107.0
The Girl with the Dragon Tattoo,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",2011,"['Thriller', 'Crime', 'Mystery', 'Drama']",['David Fincher'],"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Goran Visnjic', 'Stellan Skarsgård', 'Robin Wright', 'Steven Berkoff', 'Joely Richardson', 'Embeth Davidtz', 'Geraldine James', 'Elodie Yung', 'Julian Sands', 'Ulf Friberg', 'Gustaf Hammarsten', 'David Dencik', 'Alan Dale', 'Yorick van Wageningen', 'Donald Sumpter', 'Bengt C.W. Carlsson', 'Tony Way', 'Inga Landgré', 'Per Myrberg', 'Josefin Asplund', 'Eva Fritjofson', 'Maya Hansson-Bergqvist', 'Anna Björk', 'Simon Reithner', 'Martin Jarvis', 'Anders Berg', 'Mats Andersson', 'Anders Jansson', 'Kalle Josephson', 'Sandra Andreis', 'Arly Jover', 'Tess Panzer', 'Alastair Duncan', 'Julia Rose', 'Peter Carlberg', 'Lena Strömdahl', 'Matthew Wolf', 'Anne-Li Norberg', 'Leo Bill', 'Marco Albrecht', 'Fredrik Dolk', 'Christine Adams', 'Peter Hottinger', 'Joyce Giraud', 'Joel Kinnaman', 'Leah Shaw', 'George Gerdes', 'Jenifer Brougham', 'Laurence Fuller', 'Henry Hereford', 'Darri Ingolfsson', 'Christopher Maleki', 'Sahlima', 'Malin Toverud', 'Denise Wessman', 'Lennart B. Sandelin']",tmdb,7.2,158.0
Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",1995,"['Action', 'Thriller']",['John McTiernan'],"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson', 'Graham Greene', 'Colleen Camp', 'Larry Bryggman', 'Anthony Peck', 'Nicholas Wyman', 'Sam Phillips', 'Kevin Chamberlin', 'Sharon Washington', 'Stephen Pearlman', 'Michael Alexander Jackson', 'Aldis Hodge', 'Mischa Hausserman', 'Michael Cristofer', 'Tony Halme']",tmdb,6.9,128.0
Sherlock Holmes,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",2009,"['Action', 'Adventure', 'Crime', 'Mystery']",['Guy Ritchie'],"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong', 'Eddie Marsan', 'Robert Maillet', 'Geraldine James', 'Kelly Reilly', 'William Houston', 'Hans Matheson', 'James Fox', 'William Hope', 'Clive Russell', 'Oran Gurel', 'David Garrick', 'Kylie Hutchinson', 'Andrew Brooke', 'John Kearney', 'Sebastian Abineri', 'Jonathan Gabriel Robbins', 'James A. Stephens', 'Terry Taplin', 'Bronagh Gallagher', 'Ed Tolputt', 'Joe Egan', 'Jefferson Hall', 'Miles Jupp', 'Marn Davies', 'Andrew Greenough', 'Ned Dennehy', 'Martin Ewens', 'Amanda Grace Johnson', 'James Greene', 'David Emmings', 'Chris Sunley', 'Michael Jenn', ""Timothy O'Hara"", 'Guy Williams', 'Peter Miles', 'Jonathan Bridge', 'Sam Creed', 'Radu Andrei Cucu', 'James Currie', 'Jason Daly', 'Paul J. Dove', 'Neil Findlater', 'Kas Graham', 'Thomas Kadman', 'Brendan McCoy', 'Matthew Radway', 'Robert Stone', 'John Warman', 'Ben Cartwright', 'William Atkinson', 'Tom Watt']",tmdb,7.0,128.0
Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",2001,"['Animation', 'Family', 'Adventure', 'Science Fiction']","['Gary Trousdale', 'Kirk Wise']","['Michael J. Fox', 'Corey Burton', 'Claudia Christian', 'James Garner', 'John Mahoney', 'Phil Morris', 'Leonard Nimoy', 'Don Novello', 'Jacqueline Obradors', 'Florence Stanley', 'David Ogden Stiers', 'Natalie Strom', 'Cree Summer', 'Jim Varney', 'Jim Cummings']",tmdb,6.7,95.0
Valkyrie,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",2008,"['Drama', 'Thriller', 'History', 'War']",['Bryan Singer'],"['Tom Cruise', 'Carice van Houten', 'Kenneth Branagh', 'Bill Nighy', 'Terence Stamp', 'Tom Wilkinson', 'Eddie Izzard', 'David Bamber', 'Thomas Kretschmann', 'David Schofield', 'Kevin McNally', 'Christian Berkel', 'Kenneth Cranham', 'Tom Hollander', 'Jamie Parker', 'Danny Webb', 'Bernard Hill', 'Ian McNeice', 'Chris Larkin', 'Matthew Burton', 'Gerhard Haase-Hindenberg', 'Matthias Freihof', 'Halina Reijn', 'Manfred-Anton Algrang', 'Werner Daehn', 'Matthias Schweighöfer', 'Andy Gätjen', 'Christopher Karl Hemeyer', 'Philipp von Schulthess', 'Karl Alexander Seidel', 'Justus Kammerer', 'Frank Christian Marx', 'Florian Panzner', 'Tim Williams', 'Julian Morris']",tmdb,6.7,121.0
A.I. Artificial Intelligence,"A robotic boy, the first programmed to love, David is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David. Without final acceptance by humans or machines, David embarks on a journey to discover where he truly belongs, uncovering a world in which the line between robot and machine is both vast and profoundly thin.",2001,"['Drama', 'Science Fiction', 'Adventure']",['Steven Spielberg'],"['Haley Joel Osment', ""Frances O'Connor"", 'Sam Robards', 'Jake Thomas', 'Jude Law', 'William Hurt', 'Robin Williams', 'Ben Kingsley', 'Meryl Streep', 'Chris Rock', 'Ken Leung', 'Clark Gregg', 'Kevin Sussman', 'Tom Gallop', 'Eugene Osment', 'April Grace', 'Matt Winston', 'Sabrina Grdevich', 'Theo Greenly', 'Michael Mantell', 'Keith Campbell', 'Brian Turk', 'Brendan Gleeson']",tmdb,6.8,146.0
Contact,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",1997,"['Drama', 'Science Fiction', 'Mystery']",['Robert Zemeckis'],"['Jodie Foster', 'Matthew McConaughey', 'James Woods', 'John Hurt', 'Tom Skerritt', 'William Fichtner', 'David Morse', 'Angela Bassett', 'Geoffrey Blake', 'Max Martini', 'Rob Lowe', 'Jake Busey', 'Jena Malone', 'Tucker Smallwood', 'Sami Chester', 'Henry Strozier', 'Haynes Brooke', 'Timothy McNeil', 'Laura Elena Surillo', 'Michael Chaban', 'Larry King', 'Thomas Garner ', 'Conroy Chino', 'Dan Gifford', 'Vance Valencia', 'Donna Kelley', 'Leon Harris', 'Claire Shipman', 'Behrooz Afrakhan', 'Saemi Nakamura', 'Maria Celeste Arraras', 'Tabitha Soren', 'Geraldo Rivera', 'Ian Whitcomb', 'Jay Leno', 'Michael Albala', 'Ned Netterville', 'Leo Lee', 'William Jordan', 'David St. James', 'Steven Ford', 'Alexander Zemeckis', 'Janie Peterson', 'Philippe Bergeron', 'Jennifer Balgobin', 'Anthony Hamilton', 'Rebecca T. Beucler', 'Marc Macaulay', 'Jeffery Thomas Johnson', 'Jeffery Thomas Johnson', 'Yuji Okumoto', 'Gerry Griffin', 'Brian Alston', 'Rob Elk', 'Mark Thomason', 'José Rey', 'Todd Patrick Breaugh', 'Alex Veadov', 'Alice Kushida', 'Robin Gammell', 'Richardson Morse', 'Seiji Okamura', 'Mak Takano', 'Hiroshi Tom Tanaka', 'Catherine Dao', 'Kristoffer Ryan Winters', 'Valorie Armstrong', 'Jim Hild', 'William L. Thomas', 'Diego Montoya', 'Jonathan Adler', 'Robert Aguilar Jr.', 'Mark Bailey', 'Matt Bennett', 'Tony Boldi', 'Christopher Boyer', 'Mark Byrne', 'Candice T. Cain', 'Aixa Clemente', 'Aixa Clemente', 'Derrick Damions', 'Elaina Erika Davis', 'Joey Dente', 'Michael Egan', 'Jeff Elmore', 'Pamela Fischer', 'Carl Gilliard', 'William B. Kaplan', 'Ming Lo', 'Sunshine Logroño', 'Denise Loveday', 'Neal Matarazzo', 'Cassidy McMillan', 'Molly Mueller', 'Paul L. Nolan', 'Marisa Petroro', 'Errica Poindexter', 'J.A. Preston', 'Frank Principe', 'Leo Rogstad', 'Russell Sanderlin Sr.', 'Frank Silva', 'John A. Taylor', 'Todd Thompson', 'Cenk Uygur', 'Holly Cross Vagley', 'Eric Alan Wendell', 'Delaney Williams']",tmdb,7.2,150.0
Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",2016,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",['Jon M. Chu'],"['Jesse Eisenberg', 'Woody Harrelson', 'Mark Ruffalo', 'Dave Franco', 'Morgan Freeman', 'Michael Caine', 'Lizzy Caplan', 'Daniel Radcliffe', 'Jay Chou', 'Henry Lloyd-Hughes', 'Sanaa Lathan', 'Justine Wachsberger', 'Alexandra Fraser', 'David Warshofsky', 'Tsai Chin', 'Ben Lamb', 'Lasco Atkins', 'Amber Elizabeth', 'Alexander Cooper', 'Judit Novotnik', 'Richard Laing', 'Alexa Brown', 'William Henderson', 'Brick Patrick', 'Zach Gerard', 'Fenfen Huang', 'Aaron Ly', 'Cyd Casados', 'Jem Wilner', 'James Richard Marshall', 'Karl McMillan', 'Jim Pirri', 'Christopher Logan', 'Varada Sethu', 'Michael Walters', 'Simon Connolly', 'Dino Fetscher', 'Martin Delaney', 'Nichole Bird', 'Danielle Bird', 'Michael Cooke', 'John Cooke', 'Greg McKenzie', 'Michael McKenzie', 'Tai Yin Chan', 'Bruce Chong', 'Missy Malek', 'Krystal Ellsworth', 'Jessica Lee Keller', 'Krysada Phounsiri', 'Luis Rosado', 'Karl Hussain', 'Savannah Guthrie', 'Emmanuel Akwafo', 'Jozef Aoki', 'Mairead Armstrong', 'Alphonso Austin', 'Raj Awasti', 'David Olawale Ayinde', 'Gia Marie Barbera', 'Tim Baros', 'Lauren Beacham', 'Gintare Beinoraviciute', 'Marc Benanti', 'Paul Blackwell', 'Annarie Boor', 'Greg Brummel', 'David Burge', 'Perry Burke', 'Leona Carlo', 'Yue Ting Cheng', 'Richard Clark', 'Bern Collaco', 'Pamela Betsy Cooper', 'Tim Dayman', 'Andrew Dunkelberger', 'Cameron Edwards', 'Don Sebastian Fula', 'Jesse Michael Fullington', 'Alexander Furno', 'Kevin Fyfe', 'Melissa Galloway', 'Don Gayle', 'Gemma George', 'David Georgiou', 'Claire Greasley', 'Guna Gultniece', 'Mark Haldor', 'Jane Hardcastle', 'Lee Nicholas Harris', 'Richard Herdman', 'Vera Horton', 'Kornelia Horvath', 'Ty Hurley', 'Jahmilla Jackson', 'Dolly Jagdeo', 'Oliver Jolliffe', 'Zoey Callandria Jones', 'Vivien Kent', 'Attila G. Kerekes', 'Paul Kerry', 'Irina Klimovich', 'Nina Kumar', 'Candice Lam', 'Kim-Anh Le-Pham', 'Jorge Leon Martinez', 'Rogers Leona', 'Sonu Louis', 'Nada Maache', 'João Magalhães', 'Teresa Mahoney', 'Sid Man', 'Rita McDonald Damper', 'Erica Melargo', 'Andy Mihalache', 'Anthony Milton', 'Shina Shihoko Nagai', 'Celina Nessa', 'Emily Ng', 'Jason Nicholls', 'Kapish OJO', 'Tatsujiro Oto', 'Gloria Peñaranda', 'Lovell Richards', 'Boyd Rogers', 'Aaron Sequerah', 'Vinita Sharma', 'Clem So', 'Conny Stadler', 'Richard Stanley', 'A.k. Steppa', 'Vince Taylor', 'Nadia Townsend', 'Vassiliki Tzanakou', 'Maureen Warrington', 'Daniel Westwood', 'Jo Wheatley', 'Arthur Wilde', 'Evie Wray', 'Miroslav Zaruba', 'Tatiana Zarubova']",tmdb,6.7,129.0
Spy Game,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.",2001,"['Action', 'Crime', 'Thriller']",['Tony Scott'],"['Robert Redford', 'Brad Pitt', 'Catherine McCormack', 'Stephen Dillane', 'Larry Bryggman', 'Marianne Jean-Baptiste', 'Matthew Marsh', 'Todd Boyce', 'Michael Paul Chan', 'Garrick Hagon', 'Andrew Grainger', 'Benedict Wong', 'Charlotte Rampling', 'Ken Leung']",tmdb,6.8,126.0
Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011,"['Animation', 'Adventure', 'Comedy', 'Family']",['Carlos Saldanha'],"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jane Lynch', 'Will.i.am', 'Wanda Sykes', 'George Lopez', 'Jamie Foxx', 'Rodrigo Santoro', 'Jemaine Clement', 'Jake T. Austin', 'Tracy Morgan', 'Carlos Ponce']",tmdb,6.5,96.0
Bicentennial Man,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",1999,"['Comedy', 'Science Fiction']",['Chris Columbus'],"['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Oliver Platt', 'Kiersten Warren', 'Wendy Crewson', 'Bradley Whitford', 'Lindze Letherman', 'Angela Landis', 'John Michael Higgins', 'Igor Hiller', 'Joe Bellan', 'Brett Wagner', 'Stephen Root', 'Hallie Kate Eisenberg', 'George Wallace', ""Tom O'Reilly""]",tmdb,6.9,131.0
